//ID	Item Name	ICON	Item Model	Lance Texture	Carsise Texture	Phyllis Texture	Ami Texture	Ship Symbol	ship siz number	Type	obtain prefix rate	set ID	Forging Level	Stable value	only ID	Tradeable Or Not	picked	Discard	Confirm to delete	stackable	is it instantiation	SELLING PRICE	Lance=1,Carise=2,Phyliss=3,Ami=4	Character Level	Class	Character Nick	Character Reputation	item can equip location	item switch location	item obtain into location determine	Str modulus bonus	Agi modulus bonus	Dex modulus bonus	Con modulus bonus	Spr modulus bonus	Luk modulus bonus	ASPD Bonus	????????	?????????	?????????	Percent Def Bonus	Percent HP Bonus	Percent SP  Bonus	flee modulus bonus	Hit modulus bonus	crt modulus bonus	mf modulus bonus	hrec modulus bonus	srec modulus bonus	mspd modulus bonus	col modulus bonus	STR (STAT)	AGI (STAT)	ACC (STAT)	CON (STAT)	SPR (STAT)	Lukconstant bonus	????????	????????	Min Attack Power	Max Attack Power	+ Defense	+ Max HP Bonus	+ Max SP Bonus	+ Dodge Rate Bonus	hitconstant bonus	crtconstant bonus	mfconstant bonus	HP Recovery Speed Bonus	SP Recovery Speed Bonus	+ MSPD Bonus	colconstant bonus	Physical Resist	item left hand exert identifier	Item Energy	Durability	Max instantiation hole value	Ship durability recovered	can contain cannon quantity	ship member count	member label	Cargo Capacity	Fuel consumption	Cannonball Path of Flight speed	ship movement speed	usage effect	display effect	item bind effect	item bind effect dummy	Display item effect (item put at object slot 1 to show effect)	item drop model effect	item usage effect	Description (Item level)	Remark
0011	Steel Sword	w0211	10100001	01010012	02010012	03010078	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	8237	1,2,3	25	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	68,90	84,110	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0012	Striking Sword	w0003	10100001	01010003	02010003	03010079	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	18742	1,2,3	35	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	84,94	104,114	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0013	Two Handed Sword	w0008	10100002	01020001	02020001	0	0	0	00	2	10	0	0	7	1	1	1	1	1	1	1	7691	2,1	15	1,8,9,10	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	69,109	95,147	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Requires 2 hand to wield due to its heavy weight. Higher damage than single hand weapon	1
0014	Warrior Sword	w0009	10100002	01020002	02020002	0	0	0	00	2	10	0	0	7	1	1	1	1	1	1	1	26360	1,2,3	25	1,8,9,10	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	107,143	147,195	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sword use by warrior of valor	1
0015	Criss Sword	w0010	10100002	01020003	02020003	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	83593	2	40	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	161,203	219,277	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Shape of a criss cross	1
0016	Paladin Sword	w0011	10100002	01020004	02020004	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	144700	2	50	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	203,243	275,331	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0017	Bone Sword	w0012	10100002	01020005	02020005	0	0	0	00	2	50	0	0	5	1	1	1	1	1	1	1	227003	2	60	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	243,279	329,381	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Made from dragon bone by a masterful blacksmith	1
0018	Thunder Blade	w0013	10100002	01020006	02020006	0	0	0	00	2	10	0	0	4	1	1	1	1	1	1	1	332529	2	70	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	279,315	379,427	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Legendary weapon with lightning properties	1
0019	Onyx Sword	w0014	10100002	01020007	02020007	0	0	0	00	2	10	0	0	4	1	1	1	1	1	1	1	463145	2	80	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,19	0,19	0,19	0,19	0,19	0,0	0,0	0,0	314,338	426,458	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0020	Rebel Sword	w0208	10100002	01020023	02020023	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	111312	2	45	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	182,224	248,302	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0021	Charging Sword	w0210	10100002	01020026	02020026	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	182752	2	55	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	223,263	303,355	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0022	Crescent Sword	w0004	10100001	01010004	02010004	03010080	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	34785	1,3	45	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	93,111	115,137	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0023	Delusion Sword	w0005	10100001	01010005	02010005	03010081	0	0	00	1	10	0	0	5	1	1	1	1	1	1	1	57110	1,3	55	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	110,126	136,156	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0024	Chest of Cabal	n1257	10130023	0	0	0	0	0	00	31	0	0	0	0	0	0	0	0	1	1	0	10	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	ItemUse_IDBOX	0	0	0	0	0	0	Pirate King Online event chest. For top 100 players to reach Lv 60 in the shortest time.	1
0025	Short Bow	w0015	10100003	01030001	0	03030001	0	0	00	3	10	0	0	7	1	1	1	1	1	1	1	2031	1,3	10	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	40,74	46,84	0,0	0,0	0,0	0,0	3,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Short-ranged bow	1
0026	Long Bow	w0016	10100003	01030002	0	03030002	0	0	00	3	10	0	0	7	1	1	1	1	1	1	1	9794	1,3	20	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	74,106	82,118	0,0	0,0	0,0	0,0	7,8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Long-ranged bow	1
0027	Tribal Bow	w0017	10100003	01030003	0	03030003	0	0	00	3	10	0	0	6	1	1	1	1	1	1	1	25897	1,3	30	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	105,133	117,149	0,0	0,0	0,0	0,0	10,12	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Long-ranged bow made from animal parts. Small and easy to carry	1
0028	Meteor Bow	w0018	10100003	01030004	0	03030004	0	0	00	3	10	0	0	6	1	1	1	1	1	1	1	37485	1,3	35	2,11,12	0	0	6	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	78,78	80,80	0,0	0,0	0,0	0,0	15,15	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bow that fires arrows like meteors and comets	1
0029	Recca Bow	w0019	10100003	01030005	0	03030005	0	0	00	3	10	0	0	5	1	1	1	1	1	1	1	65859	1,3	44	2,11,12	0	0	6	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	95,95	111,111	0,0	0,0	0,0	0,0	17,17	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bow taken from the burning hell	1
0030	Bow of Dawn	w0020	10100003	01030006	0	03030006	0	0	00	3	10	0	0	4	1	1	1	1	1	1	1	104299	1,3	53	2,11,12	0	0	6	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	115,115	131,131	0,0	0,0	0,0	0,0	20,20	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	One of the 2 bows made by an ancient hero. Bow of Dawn and Bow of Dusk	1
0031	Bow of Dusk	w0021	10100003	01030007	0	03030007	0	0	00	3	10	0	0	4	1	1	1	1	1	1	1	153788	1,3	62	2,11,12	0	0	6	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	132,132	152,152	0,0	0,0	0,0	0,0	22,22	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	One of the 2 bows made by an ancient hero. Bow of Dawn and Bow of Dusk.	1
0032	Hunter Bow	w0263	10100003	01030009	0	03030009	0	0	00	3	10	0	0	7	1	1	1	1	1	1	1	4807	1,3	15	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	57,91	65,99	0,0	0,0	0,0	0,0	5,7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0033	Battle Bow	w0265	10100003	01030011	0	03030011	0	0	00	3	10	0	0	7	1	1	1	1	1	1	1	16475	1,3	25	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	90,120	100,134	0,0	0,0	0,0	0,0	8,10	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0034	Marksman Bow	w0267	10100003	01030013	0	03030013	0	0	00	3	10	0	0	6	1	1	1	1	1	1	1	37485	1,3	35	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	119,149	133,167	0,0	0,0	0,0	0,0	12,13	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0037	Firegun	w0022	10100004	01040001	0	03040001	0	0	00	4	10	0	0	7	1	1	1	1	1	1	1	32950	1,3	25	2,11,12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-120,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	91,125	163,213	0,0	0,0	0,0	0,0	-5,-5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Very portable firegun	1
0038	Fire-Rifle	w0023	10100004	01040002	0	03040002	0	0	00	4	10	0	0	7	1	1	1	1	1	1	1	74970	1,3	35	2,11,12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-130,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	135,169	203,253	0,0	0,0	0,0	0,0	-7,-7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Standard firegun used. However, speed of firing is slow	1
0039	Exquisite Pistol	w0024	10100004	01040003	0	03040003	0	0	00	4	10	0	0	6	1	1	1	1	1	1	1	104492	1,3	40	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-140,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	152,182	228,274	0,0	0,0	0,0	0,0	-8,-8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Intricately designed gun with immense value	1
0040	Exquisite Rifle	w0025	10100004	01040004	0	03040004	0	0	00	4	10	0	0	6	1	1	1	1	1	1	1	180876	1,3	50	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-150,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	182,212	274,320	0,0	0,0	0,0	0,0	-10,-10	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0041	Laser Gun	w0026	10100004	01040005	0	03040005	0	0	00	4	10	0	0	5	1	1	1	1	1	1	1	283754	1,3	60	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-160,-100	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	212,238	318,360	0,0	0,0	0,0	0,0	-12,-12	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
